permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
71,Paper,Paper,4.424,USD,IDEALPRO,71.0,,,1.0,2.212,100000.0,-100000.0,-4.424,SLD,5m_,USD,20170131 14:50:00 EST,,0.0,108831.505,1769650.0,108831.505,2.212,109150.0,109150.0,-4.424
72,Paper,Paper,4.418,USD,IDEALPRO,72.0,,,1.0,2.209,100000.0,0.0,295.582,BOT,5m_,USD,20170131 16:50:00 EST,,300.0,109127.087,1990550.0,109127.087,2.212,109450.0,109450.0,295.582
73,Paper,Paper,4.425,USD,IDEALPRO,73.0,,,1.0,2.2125,100000.0,-100000.0,-4.425,SLD,5m_,USD,20170131 16:55:00 EST,,0.0,109122.662,1769300.0,109122.662,2.2125,109450.0,109450.0,-4.425
74,Paper,Paper,4.399,USD,IDEALPRO,74.0,,,1.0,2.1995,100000.0,0.0,1295.601,BOT,5m_,USD,20170131 17:00:00 EST,,1300.0,110418.263,1989250.0,110418.263,2.2125,110750.0,110750.0,1295.601
75,Paper,Paper,4.409,USD,IDEALPRO,75.0,,,1.0,2.2045,100000.0,-100000.0,-4.409,SLD,5m_,USD,20170131 17:05:00 EST,,0.0,110413.854,1768800.0,110413.854,2.2045,110750.0,110750.0,-4.409
76,Paper,Paper,4.399,USD,IDEALPRO,76.0,,,1.0,2.1995,100000.0,0.0,495.601,BOT,5m_,USD,20170131 17:10:00 EST,,500.0,110909.455,1988750.0,110909.455,2.2045,111250.0,111250.0,495.601
77,Paper,Paper,4.405,USD,IDEALPRO,77.0,,,1.0,2.2025,100000.0,-100000.0,-4.405,SLD,5m_,USD,20170131 17:15:00 EST,,0.0,110905.05,1768500.0,110905.05,2.2025,111250.0,111250.0,-4.405
78,Paper,Paper,4.404,USD,IDEALPRO,78.0,,,1.0,2.202,100000.0,0.0,45.596,BOT,5m_,USD,20170131 17:20:00 EST,,50.0,110950.646,1988700.0,110950.646,2.2025,111300.0,111300.0,45.596
79,Paper,Paper,4.397,USD,IDEALPRO,79.0,,,1.0,2.1985,100000.0,-100000.0,-4.397,SLD,5m_,USD,20170131 17:25:00 EST,,0.0,110946.249,1768850.0,110946.249,2.1985,111300.0,111300.0,-4.397
80,Paper,Paper,4.395,USD,IDEALPRO,80.0,,,1.0,2.1975,100000.0,0.0,95.605,BOT,5m_,USD,20170131 17:35:00 EST,,100.0,111041.854,1988600.0,111041.854,2.1985,111400.0,111400.0,95.605
81,Paper,Paper,4.391,USD,IDEALPRO,81.0,,,1.0,2.1955,100000.0,-100000.0,-4.391,SLD,5m_,USD,20170131 17:40:00 EST,,0.0,111037.463,1769050.0,111037.463,2.1955,111400.0,111400.0,-4.391
82,Paper,Paper,4.386,USD,IDEALPRO,82.0,,,1.0,2.193,100000.0,0.0,245.614,BOT,5m_,USD,20170131 17:45:00 EST,,250.0,111283.077,1988350.0,111283.077,2.1955,111650.0,111650.0,245.614
83,Paper,Paper,4.381,USD,IDEALPRO,83.0,,,1.0,2.1905,100000.0,-100000.0,-4.381,SLD,5m_,USD,20170131 17:50:00 EST,,0.0,111278.696,1769300.0,111278.696,2.1905,111650.0,111650.0,-4.381
84,Paper,Paper,4.371,USD,IDEALPRO,84.0,,,1.0,2.1855,100000.0,0.0,495.629,BOT,5m_,USD,20170131 17:55:00 EST,,500.0,111774.325,1987850.0,111774.325,2.1905,112150.0,112150.0,495.629
85,Paper,Paper,4.386,USD,IDEALPRO,85.0,,,1.0,2.193,100000.0,-100000.0,-4.386,SLD,5m_,USD,20170131 18:00:00 EST,,0.0,111769.939,1768550.0,111769.939,2.193,112150.0,112150.0,-4.386
86,Paper,Paper,4.371,USD,IDEALPRO,86.0,,,1.0,2.1855,100000.0,0.0,745.629,BOT,5m_,USD,20170131 18:05:00 EST,,750.0,112515.568,1987100.0,112515.568,2.193,112900.0,112900.0,745.629
87,Paper,Paper,4.379,USD,IDEALPRO,87.0,,,1.0,2.1895,100000.0,-100000.0,-4.379,SLD,5m_,USD,20170131 18:10:00 EST,,0.0,112511.189,1768150.0,112511.189,2.1895,112900.0,112900.0,-4.379
88,Paper,Paper,4.376,USD,IDEALPRO,88.0,,,1.0,2.188,100000.0,0.0,145.624,BOT,5m_,USD,20170131 18:25:00 EST,,150.0,112656.813,1986950.0,112656.813,2.1895,113050.0,113050.0,145.624
89,Paper,Paper,4.431,USD,IDEALPRO,89.0,,,1.0,2.2155,100000.0,-100000.0,-4.431,SLD,5m_,USD,20170201 10:00:00 EST,,0.0,112652.382,1765400.0,112652.382,2.2155,113050.0,113050.0,-4.431
90,Paper,Paper,4.412,USD,IDEALPRO,90.0,,,1.0,2.206,100000.0,0.0,945.588,BOT,5m_,USD,20170201 10:05:00 EST,,950.0,113597.97,1986000.0,113597.97,2.2155,114000.0,114000.0,945.588
91,Paper,Paper,4.416,USD,IDEALPRO,91.0,,,1.0,2.208,100000.0,-100000.0,-4.416,SLD,5m_,USD,20170201 10:10:00 EST,,0.0,113593.554,1765200.0,113593.554,2.208,114000.0,114000.0,-4.416
92,Paper,Paper,4.404,USD,IDEALPRO,92.0,,,1.0,2.202,100000.0,0.0,595.596,BOT,5m_,USD,20170201 10:30:00 EST,,600.0,114189.15,1985400.0,114189.15,2.208,114600.0,114600.0,595.596
93,Paper,Paper,4.406,USD,IDEALPRO,93.0,,,1.0,2.203,100000.0,-100000.0,-4.406,SLD,5m_,USD,20170201 10:35:00 EST,,0.0,114184.744,1765100.0,114184.744,2.203,114600.0,114600.0,-4.406
94,Paper,Paper,4.404,USD,IDEALPRO,94.0,,,1.0,2.202,100000.0,0.0,95.596,BOT,5m_,USD,20170201 10:40:00 EST,,100.0,114280.34,1985300.0,114280.34,2.203,114700.0,114700.0,95.596
95,Paper,Paper,4.417,USD,IDEALPRO,95.0,,,1.0,2.2085,100000.0,-100000.0,-4.417,SLD,5m_,USD,20170201 10:45:00 EST,,0.0,114275.923,1764450.0,114275.923,2.2085,114700.0,114700.0,-4.417
96,Paper,Paper,4.414,USD,IDEALPRO,96.0,,,1.0,2.207,100000.0,0.0,145.586,BOT,5m_,USD,20170202 11:20:00 EST,,150.0,114421.509,1985150.0,114421.509,2.2085,114850.0,114850.0,145.586
97,Paper,Paper,4.412,USD,IDEALPRO,97.0,,,1.0,2.206,100000.0,-100000.0,-4.412,SLD,5m_,USD,20170202 11:25:00 EST,,0.0,114417.097,1764550.0,114417.097,2.206,114850.0,114850.0,-4.412
98,Paper,Paper,4.408,USD,IDEALPRO,98.0,,,1.0,2.204,100000.0,0.0,195.592,BOT,5m_,USD,20170202 11:30:00 EST,,200.0,114612.689,1984950.0,114612.689,2.206,115050.0,115050.0,195.592
99,Paper,Paper,4.409,USD,IDEALPRO,99.0,,,1.0,2.2045,100000.0,-100000.0,-4.409,SLD,5m_,USD,20170202 11:35:00 EST,,0.0,114608.28,1764500.0,114608.28,2.2045,115050.0,115050.0,-4.409
100,Paper,Paper,4.406,USD,IDEALPRO,100.0,,,1.0,2.203,100000.0,0.0,145.594,BOT,5m_,USD,20170202 11:45:00 EST,,150.0,114753.874,1984800.0,114753.874,2.2045,115200.0,115200.0,145.594
101,Paper,Paper,4.409,USD,IDEALPRO,101.0,,,1.0,2.2045,100000.0,-100000.0,-4.409,SLD,5m_,USD,20170202 11:50:00 EST,,0.0,114749.465,1764350.0,114749.465,2.2045,115200.0,115200.0,-4.409
102,Paper,Paper,4.401,USD,IDEALPRO,102.0,,,1.0,2.2005,100000.0,0.0,395.599,BOT,5m_,USD,20170202 11:55:00 EST,,400.0,115145.064,1984400.0,115145.064,2.2045,115600.0,115600.0,395.599
103,Paper,Paper,4.394,USD,IDEALPRO,103.0,,,1.0,2.197,100000.0,-100000.0,-4.394,SLD,5m_,USD,20170202 12:00:00 EST,,0.0,115140.67,1764700.0,115140.67,2.197,115600.0,115600.0,-4.394
