permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
52,Paper,Paper,2.0,USD,IDEALPRO,52.0,,,1.0,2.2245,100.0,0.0,-1.85,BOT,5m_,USD,20170130 18:20:00 EST,,0.15,99903.25,1999992.75,99903.25,2.226,100007.25,100007.25,-1.85
53,Paper,Paper,2.0,USD,IDEALPRO,53.0,,,1.0,2.223,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 18:25:00 EST,,0.0,99901.25,1999770.45,99901.25,2.223,100007.25,100007.25,-2.0
54,Paper,Paper,2.0,USD,IDEALPRO,54.0,,,1.0,2.22,100.0,0.0,-1.7,BOT,5m_,USD,20170131 10:05:00 EST,,0.3,99899.55,1999992.45,99899.55,2.223,100007.55,100007.55,-1.7
55,Paper,Paper,2.0,USD,IDEALPRO,55.0,,,1.0,2.215,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 10:10:00 EST,,0.0,99897.55,1999770.95,99897.55,2.215,100007.55,100007.55,-2.0
56,Paper,Paper,2.0,USD,IDEALPRO,56.0,,,1.0,2.212,100.0,0.0,-1.7,BOT,5m_,USD,20170131 10:15:00 EST,,0.3,99895.85,1999992.15,99895.85,2.215,100007.85,100007.85,-1.7
57,Paper,Paper,2.0,USD,IDEALPRO,57.0,,,1.0,2.22,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 10:20:00 EST,,0.0,99893.85,1999770.15,99893.85,2.22,100007.85,100007.85,-2.0
58,Paper,Paper,2.0,USD,IDEALPRO,58.0,,,1.0,2.218,100.0,0.0,-1.8,BOT,5m_,USD,20170131 13:45:00 EST,,0.2,99892.05,1999991.95,99892.05,2.22,100008.05,100008.05,-1.8
59,Paper,Paper,2.0,USD,IDEALPRO,59.0,,,1.0,2.221,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 13:50:00 EST,,0.0,99890.05,1999769.85,99890.05,2.221,100008.05,100008.05,-2.0
60,Paper,Paper,2.0,USD,IDEALPRO,60.0,,,1.0,2.218,100.0,0.0,-1.7,BOT,5m_,USD,20170131 13:55:00 EST,,0.3,99888.35,1999991.65,99888.35,2.221,100008.35,100008.35,-1.7
61,Paper,Paper,2.0,USD,IDEALPRO,61.0,,,1.0,2.2205,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 14:00:00 EST,,0.0,99886.35,1999769.6,99886.35,2.2205,100008.35,100008.35,-2.0
62,Paper,Paper,2.0,USD,IDEALPRO,62.0,,,1.0,2.219,100.0,0.0,-1.85,BOT,5m_,USD,20170131 14:05:00 EST,,0.15,99884.5,1999991.5,99884.5,2.2205,100008.5,100008.5,-1.85
63,Paper,Paper,2.0,USD,IDEALPRO,63.0,,,1.0,2.2175,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 14:10:00 EST,,0.0,99882.5,1999769.75,99882.5,2.2175,100008.5,100008.5,-2.0
64,Paper,Paper,2.0,USD,IDEALPRO,64.0,,,1.0,2.2165,100.0,0.0,-1.9,BOT,5m_,USD,20170131 14:15:00 EST,,0.1,99880.6,1999991.4,99880.6,2.2175,100008.6,100008.6,-1.9
65,Paper,Paper,2.0,USD,IDEALPRO,65.0,,,1.0,2.216,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 14:20:00 EST,,0.0,99878.6,1999769.8,99878.6,2.216,100008.6,100008.6,-2.0
66,Paper,Paper,2.0,USD,IDEALPRO,66.0,,,1.0,2.215,100.0,0.0,-1.9,BOT,5m_,USD,20170131 14:25:00 EST,,0.1,99876.7,1999991.3,99876.7,2.216,100008.7,100008.7,-1.9
67,Paper,Paper,2.0,USD,IDEALPRO,67.0,,,1.0,2.2135,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 14:30:00 EST,,0.0,99874.7,1999769.95,99874.7,2.2135,100008.7,100008.7,-2.0
68,Paper,Paper,2.0,USD,IDEALPRO,68.0,,,1.0,2.2125,100.0,0.0,-1.9,BOT,5m_,USD,20170131 14:35:00 EST,,0.1,99872.8,1999991.2,99872.8,2.2135,100008.8,100008.8,-1.9
69,Paper,Paper,2.0,USD,IDEALPRO,69.0,,,1.0,2.2155,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 14:40:00 EST,,0.0,99870.8,1999769.65,99870.8,2.2155,100008.8,100008.8,-2.0
70,Paper,Paper,2.0,USD,IDEALPRO,70.0,,,1.0,2.212,100.0,0.0,-1.65,BOT,5m_,USD,20170131 14:45:00 EST,,0.35,99869.15,1999990.85,99869.15,2.2155,100009.15,100009.15,-1.65
71,Paper,Paper,2.0,USD,IDEALPRO,71.0,,,1.0,2.212,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 14:50:00 EST,,0.0,99867.15,1999769.65,99867.15,2.212,100009.15,100009.15,-2.0
72,Paper,Paper,2.0,USD,IDEALPRO,72.0,,,1.0,2.209,100.0,0.0,-1.7,BOT,5m_,USD,20170131 16:50:00 EST,,0.3,99865.45,1999990.55,99865.45,2.212,100009.45,100009.45,-1.7
73,Paper,Paper,2.0,USD,IDEALPRO,73.0,,,1.0,2.2125,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 16:55:00 EST,,0.0,99863.45,1999769.3,99863.45,2.2125,100009.45,100009.45,-2.0
74,Paper,Paper,2.0,USD,IDEALPRO,74.0,,,1.0,2.1995,100.0,0.0,-0.7,BOT,5m_,USD,20170131 17:00:00 EST,,1.3,99862.75,1999989.25,99862.75,2.2125,100010.75,100010.75,-0.7
75,Paper,Paper,2.0,USD,IDEALPRO,75.0,,,1.0,2.2045,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 17:05:00 EST,,0.0,99860.75,1999768.8,99860.75,2.2045,100010.75,100010.75,-2.0
76,Paper,Paper,2.0,USD,IDEALPRO,76.0,,,1.0,2.1995,100.0,0.0,-1.5,BOT,5m_,USD,20170131 17:10:00 EST,,0.5,99859.25,1999988.75,99859.25,2.2045,100011.25,100011.25,-1.5
77,Paper,Paper,2.0,USD,IDEALPRO,77.0,,,1.0,2.2025,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 17:15:00 EST,,0.0,99857.25,1999768.5,99857.25,2.2025,100011.25,100011.25,-2.0
78,Paper,Paper,2.0,USD,IDEALPRO,78.0,,,1.0,2.202,100.0,0.0,-1.95,BOT,5m_,USD,20170131 17:20:00 EST,,0.05,99855.3,1999988.7,99855.3,2.2025,100011.3,100011.3,-1.95
79,Paper,Paper,2.0,USD,IDEALPRO,79.0,,,1.0,2.1985,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 17:25:00 EST,,0.0,99853.3,1999768.85,99853.3,2.1985,100011.3,100011.3,-2.0
80,Paper,Paper,2.0,USD,IDEALPRO,80.0,,,1.0,2.1975,100.0,0.0,-1.9,BOT,5m_,USD,20170131 17:35:00 EST,,0.1,99851.4,1999988.6,99851.4,2.1985,100011.4,100011.4,-1.9
81,Paper,Paper,2.0,USD,IDEALPRO,81.0,,,1.0,2.1955,100.0,-100.0,-2.0,SLD,5m_,USD,20170131 17:40:00 EST,,0.0,99849.4,1999769.05,99849.4,2.1955,100011.4,100011.4,-2.0
