dates,signals,safef,comment
1484644500.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484644800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645100.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645400.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484645700.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646000.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646300.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.34 | vwap: 2.32}
1484646600.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484646900.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484647200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484647500.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484647800.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.33 | vwap: 2.32}
1484648100.0,1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484649300.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484649600.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484650200.0,0,1,{Entry: 0 | Exit: 1 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
1484650500.0,-1,1,{Entry: 1 | Exit: 0 | symPair: 5m_#Barclays5m_#Barclays | indEMA9: 2.32 | vwap: 2.32}
